//cols: dates, movie ratings (synthetic data)
1287512981, 6.784203561765508 
1248009980, 8.358395731086096 
1241738863, 3.3174201000225727 
1254667001, 3.979762834342001 
1331796539, 8.546825100572134 
1334688447, 3.208609507276753 
1315717936, 9.181878330735962 
1333936113, 6.785517327206753 
1296698807, 6.135861269942927 
1249024605, 9.244951104013168 
1299212652, 5.643090388057662 
1334738166, 6.768972859959895 
1273746466, 7.566092174444795 
1252246660, 5.528827141481347 
1296843886, 6.997059928295647 
1244569813, 7.464855388417735 
1314056955, 3.884204195314218 
1266815084, 7.831432114286016 
1254636890, 7.534245798413433 
1287750156, 5.477573621588114 
1254836478, 8.342631369005854 
1302311330, 5.495722064906385 
1274370484, 8.26951847222923 
1288727623, 9.169392807438077 
1325879111, 3.081684355766255 
1307333991, 6.486763487397656 
1248238926, 3.516544079804582 
1286780624, 8.508660321283525 
1324976125, 3.448471308867521 
1333621623, 5.487172536914999 
1245216943, 9.592858641273956 
1261960582, 5.6586230073808785 
1319212201, 8.34044051411492 
1247213937, 8.401164986310574 
1332602608, 5.109523467869254 
1325457580, 8.40917402744304 
1312745537, 4.070508757878201 
1338074232, 7.05043751515006 
1314705992, 3.0630559787273004 
1274768893, 7.963297653949918 
1340246499, 6.294485653636947 
1299575071, 8.352147991683488 
1254744553, 6.271748782029365 
1302571320, 4.883007358804797 
1260990862, 8.82184812304585 
1305060595, 6.85927458838567 
1307407670, 3.490570472228404 
1328819973, 6.307325266003238 
1265032609, 8.19935381060964 
1249473705, 4.3436925476620125 
1284415859, 6.250180523559459 
1260047156, 4.612539658607851 
1277237896, 6.557732762971023 
1254199649, 4.4599781815794985 
1314778011, 3.3451297132721045 
1250114442, 6.632033131047313 
1336276644, 4.205948465609259 
1268257984, 5.7741930125912795 
1319795165, 3.751557120666991 
1253794531, 6.568671947147529 
1241867417, 3.7149466277673513 
1327624063, 5.02102482893927 
1260084144, 4.622309251649333 
1315315593, 9.773675500558436 
1278332498, 4.948231867471436 
1275733319, 4.635357662694794 
1255741175, 3.640895091744623 
1281946762, 6.9904666229126615 
1287908873, 5.925485774332371 
1285887448, 5.574902684469007 
1243345798, 8.690964792701816 
1251321465, 5.02832001917675 
1251651123, 8.02174120880467 
1294351191, 7.290636649094704 
1269273735, 5.988368779754586 
1262845140, 8.263110788388934 
1324428053, 5.994688428146255 
1331970217, 5.998676836156745 
1338251715, 5.533331099297284 
1286822934, 4.073369345437021 
1259279504, 9.560332270800046 
1308019986, 9.414869112912259 
1317183098, 8.473709237426261 
1339272327, 7.314302615753731 
1335260671, 3.251996054634592 
1336220255, 7.580266401826529 
1255902151, 3.9083872624026235 
1291144841, 5.06051632591288 
1327955767, 5.525703280990594 
1334571107, 4.922516058557128 
1323005132, 3.5177829546204222 
1288401966, 4.064960108747936 
1293896862, 4.1313296732903 
1293927184, 9.570981897931638 
1278117448, 5.597937306688278 
1250690055, 3.3501266012176982 
1274774055, 8.186688890151189 
1294668977, 5.090761694732219 
1270883553, 4.430506895033195 
1275303539, 9.87229648830642 
